Centers,Day,Gender,Age,AverageAttentiontime,Sumofattentiontime,Watchercount
Site1,Day9,Male,Young,2.26,823308.96,364296
Site1,Day9,Male,Adult,2.45,662470.2,270396
Site1,Day9,Male,Senior,2.98,186607.6,62620
Site1,Day9,Female,Child,2.05,314584.8,153456
Site1,Day9,Female,Young,2.32,1031367.6,444555
Site1,Day9,Female,Adult,2.51,443702.74,176774
Site1,Day9,Female,Senior,2.73,266371.56,97572
Site1,Day10,Male,Child,1.98,289230.48,146076
Site1,Day10,Male,Young,2.26,860528.9,380765
Site1,Day10,Male,Adult,2.45,646483.95,263871
Site1,Day10,Male,Senior,2.98,209851.6,70420
Site1,Day10,Female,Child,2.05,334908.5,163370
Site1,Day10,Female,Young,2.32,1304559.2,562310
Site1,Day10,Female,Adult,2.51,553982.1,220710
Site1,Day10,Female,Senior,2.73,248315.34,90958
Site1,Day11,Male,Child,1.98,323634.96,163452
Site1,Day11,Male,Young,2.26,942257.28,416928
Site1,Day11,Male,Adult,2.45,812910,331800
Site1,Day11,Male,Senior,2.98,258044.16,86592
Site1,Day11,Female,Child,2.05,358782.8,175016
Site1,Day11,Female,Young,2.32,1479438.48,637689
Site1,Day11,Female,Adult,2.51,746461.45,297395
Site1,Day11,Female,Senior,2.73,382287.36,140032
Site1,Day12,Male,Child,1.98,263530.08,133096
Site1,Day12,Male,Young,2.26,893149.74,395199
Site1,Day12,Male,Adult,2.45,610983.45,249381
Site1,Day12,Male,Senior,2.98,239925.76,80512
Site1,Day12,Female,Child,2.05,305564.8,149056
Site1,Day12,Female,Young,2.32,1241979.52,535336
Site1,Day12,Female,Adult,2.51,477552.6,190260
Site1,Day12,Female,Senior,2.73,304913.7,111690
Site1,Day13,Male,Child,1.98,513976.32,259584
Site1,Day13,Male,Young,2.26,1591957.56,704406
Site1,Day13,Male,Adult,2.45,1257994.15,513467
Site1,Day13,Male,Senior,2.98,407932.2,136890
Site1,Day13,Female,Child,2.05,550207.7,268394
Site1,Day13,Female,Young,2.32,2163910.4,932720
Site1,Day13,Female,Adult,2.51,1015641.38,404638
Site1,Day13,Female,Senior,2.73,478033.92,175104
Site1,Day14,Male,Child,1.98,434522.88,219456
Site1,Day14,Male,Young,2.26,1274242.24,563824
Site1,Day14,Male,Adult,2.45,951300.7,388286
Site1,Day14,Male,Senior,2.98,321893.64,108018
Site1,Day14,Female,Child,2.05,424473,207060
Site1,Day14,Female,Young,2.32,2095836.96,903378
Site1,Day14,Female,Adult,2.51,829514.84,330484
Site1,Day14,Female,Senior,2.73,389459.07,142659
Site1,Day15,Male,Child,1.98,265458.6,134070
Site1,Day15,Male,Young,2.26,670598.5,296725
Site1,Day15,Male,Adult,2.45,555527.7,226746
Site1,Day15,Male,Senior,2.98,175292.54,58823
Site1,Day15,Female,Child,2.05,250645.3,122266
Site1,Day15,Female,Young,2.32,1189271.44,512617
Site1,Day15,Female,Adult,2.51,424059.48,168948
Site1,Day15,Female,Senior,2.73,210504.84,77108
Site1,Day16,Male,Child,1.98,266676.3,134685
Site1,Day16,Male,Young,2.26,704103,311550
Site1,Day16,Male,Adult,2.45,559202.7,228246
Site1,Day16,Male,Senior,2.98,181654.84,60958
Site1,Day16,Female,Child,2.05,308654.15,150563
Site1,Day16,Female,Young,2.32,1132902.4,488320
Site1,Day16,Female,Adult,2.51,435218.94,173394
Site1,Day16,Female,Senior,2.73,247365.3,90610
Site1,Day17,Male,Child,1.98,304613.1,153845
Site1,Day17,Male,Young,2.26,918974.76,406626
Site1,Day17,Male,Adult,2.45,707136.15,288627
Site1,Day17,Male,Senior,2.98,219459.12,73644
Site1,Day17,Female,Child,2.05,333723.6,162792
Site1,Day17,Female,Young,2.32,1328629.2,572685
Site1,Day17,Female,Adult,2.51,569870.4,227040
Site1,Day17,Female,Senior,2.73,237034.98,86826
Site1,Day18,Male,Child,1.98,374566.5,189175
Site1,Day18,Male,Young,2.26,1000178.82,442557
Site1,Day18,Male,Adult,2.45,926254.35,378063
Site1,Day18,Male,Senior,2.98,237774.2,79790
Site1,Day18,Female,Child,2.05,362825.4,176988
Site1,Day18,Female,Young,2.32,1754488.4,756245
Site1,Day18,Female,Adult,2.51,618162.8,246280
Site1,Day18,Female,Senior,2.73,374010,137000
Site1,Day19,Male,Child,1.98,241496.64,121968
Site1,Day19,Male,Young,2.26,736940.8,326080
Site1,Day19,Male,Adult,2.45,714390.6,291588
Site1,Day19,Male,Senior,2.98,185415.6,62220
Site1,Day19,Female,Child,2.05,331841.7,161874
Site1,Day19,Female,Young,2.32,1168133.92,503506
Site1,Day19,Female,Adult,2.51,513144.4,204440
Site1,Day19,Female,Senior,2.73,244875.54,89698
Site1,Day20,Male,Child,1.98,493412.04,249198
Site1,Day20,Male,Young,2.26,1668341.04,738204
Site1,Day20,Male,Adult,2.45,1369633.3,559034
Site1,Day20,Male,Senior,2.98,396277.42,132979
Site1,Day20,Female,Child,2.05,605695.05,295461
Site1,Day20,Female,Young,2.32,2276114.88,981084
Site1,Day20,Female,Adult,2.51,867892.74,345774
Site1,Day20,Female,Senior,2.73,496240.29,181773
Site1,Day21,Male,Child,1.98,434511,219450
Site1,Day21,Male,Young,2.26,1110975.32,491582
Site1,Day21,Male,Adult,2.45,1061653.6,433328
Site1,Day21,Male,Senior,2.98,335080.14,112443
Site1,Day21,Female,Child,2.05,459702.25,224245
Site1,Day21,Female,Young,2.32,2138854.4,921920
Site1,Day21,Female,Adult,2.51,724365.92,288592
Site1,Day21,Female,Senior,2.73,465041.85,170345
Site1,Day22,Male,Child,1.98,247436.64,124968
Site1,Day22,Male,Young,2.26,595907.76,263676
Site1,Day22,Male,Adult,2.45,622104,253920
Site1,Day22,Male,Senior,2.98,179562.88,60256
Site1,Day22,Female,Child,2.05,257783.4,125748
Site1,Day22,Female,Young,2.32,1016832.8,438290
Site1,Day22,Female,Adult,2.51,388947.09,154959
Site1,Day22,Female,Senior,2.73,230215.44,84328
Site1,Day23,Male,Child,1.98,275348.7,139065
Site1,Day23,Male,Young,2.26,752308.8,332880
Site1,Day23,Male,Adult,2.45,626624.25,255765
Site1,Day23,Male,Senior,2.98,206317.32,69234
Site1,Day23,Female,Child,2.05,265058.85,129297
Site1,Day23,Female,Young,2.32,1093068,471150
Site1,Day23,Female,Adult,2.51,443901.03,176853
Site1,Day23,Female,Senior,2.73,276232.32,101184
Site1,Day24,Male,Child,1.98,263462.76,133062
Site1,Day24,Male,Young,2.26,773598,342300
Site1,Day24,Male,Adult,2.45,631497.3,257754
Site1,Day24,Male,Senior,2.98,192731.5,64675
Site1,Day24,Female,Child,2.05,282838.5,137970
Site1,Day24,Female,Young,2.32,1389584.88,598959
Site1,Day24,Female,Adult,2.51,601458.75,239625
Site1,Day24,Female,Senior,2.73,261192.75,95675
Site1,Day25,Male,Child,1.98,324030.96,163652
Site1,Day25,Male,Young,2.26,1043218.26,461601
Site1,Day25,Male,Adult,2.45,882235.2,360096
Site1,Day25,Male,Senior,2.98,245751.66,82467
Site1,Day25,Female,Child,2.05,373243.5,182070
Site1,Day25,Female,Young,2.32,1561051.44,672867
Site1,Day25,Female,Adult,2.51,650491.6,259160
Site1,Day25,Female,Senior,2.73,366570.75,134275
Site1,Day26,Male,Child,1.98,277297.02,140049
Site1,Day26,Male,Young,2.26,870382.5,385125
Site1,Day26,Male,Adult,2.45,695045.4,283692
Site1,Day26,Male,Senior,2.98,213844.8,71760
Site1,Day26,Female,Child,2.05,339020.8,165376
Site1,Day26,Female,Young,2.32,1340913.6,577980
Site1,Day26,Female,Adult,2.51,542662,216200
Site1,Day26,Female,Senior,2.73,301269.15,110355
Site1,Day27,Male,Child,1.98,513394.2,259290
Site1,Day27,Male,Young,2.26,1715968.28,759278
Site1,Day27,Male,Adult,2.45,1378360.2,562596
Site1,Day27,Male,Senior,2.98,387191.4,129930
Site1,Day27,Female,Child,2.05,570424.8,278256
Site1,Day27,Female,Young,2.32,2124966.88,915934
Site1,Day27,Female,Adult,2.51,1075959.19,428669
Site1,Day27,Female,Senior,2.73,438721.92,160704
Site1,Day28,Male,Child,1.98,485298,245100
Site1,Day28,Male,Young,2.26,1295691.9,573315
Site1,Day28,Male,Adult,2.45,1112324.5,454010
Site1,Day28,Male,Senior,2.98,305450,102500
Site1,Day28,Female,Child,2.05,413710.5,201810
Site1,Day28,Female,Young,2.32,1923187.2,828960
Site1,Day28,Female,Adult,2.51,869263.2,346320
Site1,Day28,Female,Senior,2.73,391061.58,143246
Site2,Day1,Male,Child,1.98,260884.8,131760
Site2,Day1,Male,Young,2.26,802358.76,355026
Site2,Day1,Male,Adult,2.45,591219.3,241314
Site2,Day1,Male,Senior,2.98,168995.8,56710
Site2,Day1,Female,Child,2.05,221492.25,108045
Site2,Day1,Female,Young,2.32,1209253.6,521230
Site2,Day1,Female,Adult,2.51,467033.19,186069
Site2,Day1,Female,Senior,2.73,250646.76,91812
Site2,Day2,Male,Child,1.98,280296.72,141564
Site2,Day2,Male,Young,2.26,661737.04,292804
Site2,Day2,Male,Adult,2.45,583766.4,238272
Site2,Day2,Male,Senior,2.98,173531.36,58232
Site2,Day2,Female,Child,2.05,293793.7,143314
Site2,Day2,Female,Young,2.32,1195841.68,515449
Site2,Day2,Female,Adult,2.51,469435.26,187026
Site2,Day2,Female,Senior,2.73,238034.16,87192
Site2,Day3,Male,Child,1.98,280439.28,141636
Site2,Day3,Male,Young,2.26,849082,375700
Site2,Day3,Male,Adult,2.45,646283.05,263789
Site2,Day3,Male,Senior,2.98,221422.94,74303
Site2,Day3,Female,Child,2.05,308030.95,150259
Site2,Day3,Female,Young,2.32,1174885.12,506416
Site2,Day3,Female,Adult,2.51,531409.67,211717
Site2,Day3,Female,Senior,2.73,250381.95,91715
Site2,Day4,Male,Child,1.98,375154.56,189472
Site2,Day4,Male,Young,2.26,949760.48,420248
Site2,Day4,Male,Adult,2.45,827455.65,337737
Site2,Day4,Male,Senior,2.98,309994.5,104025
Site2,Day4,Female,Child,2.05,375166.4,183008
Site2,Day4,Female,Young,2.32,1775171.2,765160
Site2,Day4,Female,Adult,2.51,725756.46,289146
Site2,Day4,Female,Senior,2.73,388615.5,142350
Site2,Day5,Male,Child,1.98,253867.68,128216
Site2,Day5,Male,Young,2.26,804447,355950
Site2,Day5,Male,Adult,2.45,697720.8,284784
Site2,Day5,Male,Senior,2.98,191596.12,64294
Site2,Day5,Female,Child,2.05,288713.8,140836
Site2,Day5,Female,Young,2.32,1112799.6,479655
Site2,Day5,Female,Adult,2.51,561953.86,223886
Site2,Day5,Female,Senior,2.73,279715.8,102460
Site2,Day6,Male,Child,1.98,488559.06,246747
Site2,Day6,Male,Young,2.26,1478175.6,654060
Site2,Day6,Male,Adult,2.45,1103651.5,450470
Site2,Day6,Male,Senior,2.98,396596.28,133086
Site2,Day6,Female,Child,2.05,502947,245340
Site2,Day6,Female,Young,2.32,2468206.24,1063882
Site2,Day6,Female,Adult,2.51,978900,390000
Site2,Day6,Female,Senior,2.73,453469.38,166106
Site2,Day7,Male,Child,1.98,423720,214000
Site2,Day7,Male,Young,2.26,1212883.24,536674
Site2,Day7,Male,Adult,2.45,1033909.8,422004
Site2,Day7,Male,Senior,2.98,303137.52,101724
Site2,Day7,Female,Child,2.05,401340.8,195776
Site2,Day7,Female,Young,2.32,1656136.64,713852
Site2,Day7,Female,Adult,2.51,824519.94,328494
Site2,Day7,Female,Senior,2.73,365088.36,133732
Site2,Day8,Male,Child,1.98,247232.7,124865
Site2,Day8,Male,Young,2.26,705323.4,312090
Site2,Day8,Male,Adult,2.45,495350.8,202184
Site2,Day8,Male,Senior,2.98,160228.64,53768
Site2,Day8,Female,Child,2.05,267531.15,130503
Site2,Day8,Female,Young,2.32,961210.8,414315
Site2,Day8,Female,Adult,2.51,470650.1,187510
Site2,Day8,Female,Senior,2.73,216401.64,79268
Site2,Day9,Male,Child,1.98,253471.68,128016
Site2,Day9,Male,Young,2.26,777894.26,344201
Site2,Day9,Male,Adult,2.45,617155,251900
Site2,Day9,Male,Senior,2.98,171457.28,57536
Site2,Day9,Female,Child,2.05,268435.2,130944
Site2,Day9,Female,Young,2.32,1130740.16,487388
Site2,Day9,Female,Adult,2.51,480865.8,191580
Site2,Day9,Female,Senior,2.73,218050.56,79872
Site2,Day10,Male,Child,1.98,283090.5,142975
Site2,Day10,Male,Young,2.26,945742.2,418470
Site2,Day10,Male,Adult,2.45,571482.1,233258
Site2,Day10,Male,Senior,2.98,225288,75600
Site2,Day10,Female,Child,2.05,305755.45,149149
Site2,Day10,Female,Young,2.32,1254581.76,540768
Site2,Day10,Female,Adult,2.51,536060.7,213570
Site2,Day10,Female,Senior,2.73,288656.55,105735
Site2,Day11,Male,Child,1.98,377685,190750
Site2,Day11,Male,Young,2.26,1169373.72,517422
Site2,Day11,Male,Adult,2.45,757456.7,309166
Site2,Day11,Male,Senior,2.98,258425.6,86720
Site2,Day11,Female,Child,2.05,370986.45,180969
Site2,Day11,Female,Young,2.32,1614012.4,695695
Site2,Day11,Female,Adult,2.51,723502.48,288248
Site2,Day11,Female,Senior,2.73,398754.72,146064
Site2,Day12,Male,Child,1.98,322930.08,163096
Site2,Day12,Male,Young,2.26,766083.5,338975
Site2,Day12,Male,Adult,2.45,707726.6,288868
Site2,Day12,Male,Senior,2.98,209851.6,70420
Site2,Day12,Female,Child,2.05,341433.65,166553
Site2,Day12,Female,Young,2.32,1304573.12,562316
Site2,Day12,Female,Adult,2.51,622961.92,248192
Site2,Day12,Female,Senior,2.73,246519,90300
Site2,Day13,Male,Child,1.98,569376.72,287564
Site2,Day13,Male,Young,2.26,1512929.88,669438
Site2,Day13,Male,Adult,2.45,1282038.45,523281
Site2,Day13,Male,Senior,2.98,389784,130800
Site2,Day13,Female,Child,2.05,482594.6,235412
Site2,Day13,Female,Young,2.32,2076042.72,894846
Site2,Day13,Female,Adult,2.51,945311.18,376618
Site2,Day13,Female,Senior,2.73,581293.44,212928
Site2,Day14,Male,Child,1.98,450549,227550
Site2,Day14,Male,Young,2.26,1284857.46,568521
Site2,Day14,Male,Adult,2.45,887409.6,362208
Site2,Day14,Male,Senior,2.98,278746.22,93539
Site2,Day14,Female,Child,2.05,469040,228800
Site2,Day14,Female,Young,2.32,1847615.52,796386
Site2,Day14,Female,Adult,2.51,865761.75,344925
Site2,Day14,Female,Senior,2.73,379287.09,138933
Site2,Day15,Male,Child,1.98,250121.52,126324
Site2,Day15,Male,Young,2.26,596163.14,263789
Site2,Day15,Male,Adult,2.45,531424.6,216908
Site2,Day15,Male,Senior,2.98,170765.92,57304
Site2,Day15,Female,Child,2.05,267910.4,130688
Site2,Day15,Female,Young,2.32,931818.72,401646
Site2,Day15,Female,Adult,2.51,477376.9,190190
Site2,Day15,Female,Senior,2.73,237155.1,86870
Site2,Day16,Male,Child,1.98,234075.6,118220
Site2,Day16,Male,Young,2.26,820696.4,363140
Site2,Day16,Male,Adult,2.45,527590.35,215343
Site2,Day16,Male,Senior,2.98,189805.14,63693
Site2,Day16,Female,Child,2.05,247633.85,120797
Site2,Day16,Female,Young,2.32,1120573.92,483006
Site2,Day16,Female,Adult,2.51,443341.3,176630
Site2,Day16,Female,Senior,2.73,251449.38,92106
Site2,Day17,Male,Child,1.98,276281.28,139536
Site2,Day17,Male,Young,2.26,819381.08,362558
Site2,Day17,Male,Adult,2.45,595350,243000
Site2,Day17,Male,Senior,2.98,244956,82200
Site2,Day17,Female,Child,2.05,295169.25,143985
Site2,Day17,Female,Young,2.32,1244227.6,536305
Site2,Day17,Female,Adult,2.51,480865.8,191580
Site2,Day17,Female,Senior,2.73,298904.97,109489
Site2,Day18,Male,Child,1.98,395897.04,199948
Site2,Day18,Male,Young,2.26,905197.8,400530
Site2,Day18,Male,Adult,2.45,959491.05,391629
Site2,Day18,Male,Senior,2.98,271993.54,91273
Site2,Day18,Female,Child,2.05,421890,205800
Site2,Day18,Female,Young,2.32,1672070.4,720720
Site2,Day18,Female,Adult,2.51,688367.5,274250
Site2,Day18,Female,Senior,2.73,361288.2,132340
Site2,Day19,Male,Child,1.98,272345.04,137548
Site2,Day19,Male,Young,2.26,802279.66,354991
Site2,Day19,Male,Adult,2.45,667686.25,272525
Site2,Day19,Male,Senior,2.98,219459.12,73644
Site2,Day19,Female,Child,2.05,317087.85,154677
Site2,Day19,Female,Young,2.32,1316497.92,567456
Site2,Day19,Female,Adult,2.51,501131.54,199654
Site2,Day19,Female,Senior,2.73,267346.17,97929
Site2,Day20,Male,Child,1.98,548028.36,276782
Site2,Day20,Male,Young,2.26,1311920.96,580496
Site2,Day20,Male,Adult,2.45,1203018.6,491028
Site2,Day20,Male,Senior,2.98,379577.5,127375
Site2,Day20,Female,Child,2.05,518650,253000
Site2,Day20,Female,Young,2.32,2408997.52,1038361
Site2,Day20,Female,Adult,2.51,958930.44,382044
Site2,Day20,Female,Senior,2.73,504506.73,184801
Site2,Day21,Male,Child,1.98,465707.88,235206
Site2,Day21,Male,Young,2.26,1161843.4,514090
Site2,Day21,Male,Adult,2.45,993859.65,405657
Site2,Day21,Male,Senior,2.98,325380.24,109188
Site2,Day21,Female,Child,2.05,394551.2,192464
Site2,Day21,Female,Young,2.32,2069625.6,892080
Site2,Day21,Female,Adult,2.51,809906.72,322672
Site2,Day21,Female,Senior,2.73,422844.24,154888
Site2,Day22,Male,Child,1.98,230186.88,116256
Site2,Day22,Male,Young,2.26,676847.4,299490
Site2,Day22,Male,Adult,2.45,459345.6,187488
Site2,Day22,Male,Senior,2.98,171603.3,57585
Site2,Day22,Female,Child,2.05,251274.65,122573
Site2,Day22,Female,Young,2.32,1046770.08,451194
Site2,Day22,Female,Adult,2.51,442764,176400
Site2,Day22,Female,Senior,2.73,208107.9,76230
Site2,Day23,Male,Child,1.98,277795.98,140301
Site2,Day23,Male,Young,2.26,759970.2,336270
Site2,Day23,Male,Adult,2.45,601524,245520
Site2,Day23,Male,Senior,2.98,185138.46,62127
Site2,Day23,Female,Child,2.05,297619,145180
Site2,Day23,Female,Young,2.32,1143959.52,493086
Site2,Day23,Female,Adult,2.51,557214.98,221998
Site2,Day23,Female,Senior,2.73,252732.48,92576
Site2,Day24,Male,Child,1.98,308484,155800
Site2,Day24,Male,Young,2.26,894987.12,396012
Site2,Day24,Male,Adult,2.45,580767.6,237048
Site2,Day24,Male,Senior,2.98,179962.2,60390
Site2,Day24,Female,Child,2.05,290034,141480
Site2,Day24,Female,Young,2.32,1134619.2,489060
Site2,Day24,Female,Adult,2.51,483666.96,192696
Site2,Day24,Female,Senior,2.73,310433.76,113712
Site2,Day25,Male,Child,1.98,373507.2,188640
Site2,Day25,Male,Young,2.26,1203298.58,532433
Site2,Day25,Male,Adult,2.45,831593.7,339426
Site2,Day25,Male,Senior,2.98,276514.2,92790
Site2,Day25,Female,Child,2.05,363618.75,177375
Site2,Day25,Female,Young,2.32,1526773.44,658092
Site2,Day25,Female,Adult,2.51,785923.67,313117
Site2,Day25,Female,Senior,2.73,335364.12,122844
Site2,Day26,Male,Child,1.98,305060.58,154071
Site2,Day26,Male,Young,2.26,891658.14,394539
Site2,Day26,Male,Adult,2.45,687445.5,280590
Site2,Day26,Male,Senior,2.98,231325.48,77626
Site2,Day26,Female,Child,2.05,275725,134500
Site2,Day26,Female,Young,2.32,1304246,562175
Site2,Day26,Female,Adult,2.51,493312.89,196539
Site2,Day26,Female,Senior,2.73,238697.55,87435
Site2,Day27,Male,Child,1.98,570424.14,288093
Site2,Day27,Male,Young,2.26,1463160.16,647416
Site2,Day27,Male,Adult,2.45,1143292.5,466650
Site2,Day27,Male,Senior,2.98,433262.2,145390
Site2,Day27,Female,Child,2.05,597747.2,291584
Site2,Day27,Female,Young,2.32,2443707.04,1053322
Site2,Day27,Female,Adult,2.51,1006798.65,401115
Site2,Day27,Female,Senior,2.73,516125.61,189057
Site2,Day28,Male,Child,1.98,477259.2,241040
Site2,Day28,Male,Young,2.26,1283919.56,568106
Site2,Day28,Male,Adult,2.45,896067.9,365742
Site2,Day28,Male,Senior,2.98,314714.82,105609
Site2,Day28,Female,Child,2.05,414423.9,202158
Site2,Day28,Female,Young,2.32,1776586.4,765770
Site2,Day28,Female,Adult,2.51,754370.46,300546
Site2,Day28,Female,Senior,2.73,374004.54,136998
Site3,Day1,Male,Child,1.98,252214.38,127381
Site3,Day1,Male,Young,2.26,729123.46,322621
Site3,Day1,Male,Adult,2.45,559202.7,228246
Site3,Day1,Male,Senior,2.98,192245.76,64512
Site3,Day1,Female,Child,2.05,266637.35,130067
Site3,Day1,Female,Young,2.32,1126424.96,485528
Site3,Day1,Female,Adult,2.51,432859.54,172454
Site3,Day1,Female,Senior,2.73,238410.9,87330
Site3,Day2,Male,Child,1.98,275742.72,139264
Site3,Day2,Male,Young,2.26,726138,321300
Site3,Day2,Male,Adult,2.45,605953.6,247328
Site3,Day2,Male,Senior,2.98,194686.38,65331
Site3,Day2,Female,Child,2.05,313330.2,152844
Site3,Day2,Female,Young,2.32,1172950.24,505582
Site3,Day2,Female,Adult,2.51,526889.16,209916
Site3,Day2,Female,Senior,2.73,235762.8,86360
Site3,Day3,Male,Child,1.98,267648.48,135176
Site3,Day3,Male,Young,2.26,878010,388500
Site3,Day3,Male,Adult,2.45,658486.5,268770
Site3,Day3,Male,Senior,2.98,206907.36,69432
Site3,Day3,Female,Child,2.05,274790.2,134044
Site3,Day3,Female,Young,2.32,1202729.76,518418
Site3,Day3,Female,Adult,2.51,533284.64,212464
Site3,Day3,Female,Senior,2.73,294889.14,108018
Site3,Day4,Male,Child,1.98,340647.12,172044
Site3,Day4,Male,Young,2.26,931497.42,412167
Site3,Day4,Male,Adult,2.45,784245,320100
Site3,Day4,Male,Senior,2.98,306239.7,102765
Site3,Day4,Female,Child,2.05,417585,203700
Site3,Day4,Female,Young,2.32,1733165.28,747054
Site3,Day4,Female,Adult,2.51,585813.92,233392
Site3,Day4,Female,Senior,2.73,343873.53,125961
Site3,Day5,Male,Child,1.98,291184.74,147063
Site3,Day5,Male,Young,2.26,777173.32,343882
Site3,Day5,Male,Adult,2.45,624750,255000
Site3,Day5,Male,Senior,2.98,224486.38,75331
Site3,Day5,Female,Child,2.05,272764.8,133056
Site3,Day5,Female,Young,2.32,1081284.72,466071
Site3,Day5,Female,Adult,2.51,547782.4,218240
Site3,Day5,Female,Senior,2.73,278771.22,102114
Site3,Day6,Male,Child,1.98,444163.5,224325
Site3,Day6,Male,Young,2.26,1537514.16,680316
Site3,Day6,Male,Adult,2.45,1276783.2,521136
Site3,Day6,Male,Senior,2.98,428464.4,143780
Site3,Day6,Female,Child,2.05,571474.4,278768
Site3,Day6,Female,Young,2.32,2235273.6,963480
Site3,Day6,Female,Adult,2.51,958446.01,381851
Site3,Day6,Female,Senior,2.73,511424.55,187335
Site3,Day7,Male,Child,1.98,407899.8,206010
Site3,Day7,Male,Young,2.26,1081658.6,478610
Site3,Day7,Male,Adult,2.45,1022649.6,417408
Site3,Day7,Male,Senior,2.98,341531.84,114608
Site3,Day7,Female,Child,2.05,405584.3,197846
Site3,Day7,Female,Young,2.32,1887988.16,813788
Site3,Day7,Female,Adult,2.51,735179,292900
Site3,Day7,Female,Senior,2.73,396092.97,145089
Site3,Day8,Male,Child,1.98,237489.12,119944
Site3,Day8,Male,Young,2.26,783361.2,346620
Site3,Day8,Male,Adult,2.45,539784,220320
Site3,Day8,Male,Senior,2.98,180453.9,60555
Site3,Day8,Female,Child,2.05,240932.4,117528
Site3,Day8,Female,Young,2.32,932640,402000
Site3,Day8,Female,Adult,2.51,494289.28,196928
Site3,Day8,Female,Senior,2.73,200807.88,73556
Site3,Day9,Male,Child,1.98,243936,123200
Site3,Day9,Male,Young,2.26,858307.32,379782
Site3,Day9,Male,Adult,2.45,543826.5,221970
Site3,Day9,Male,Senior,2.98,168670.98,56601
Site3,Day9,Female,Child,2.05,285464.55,139251
Site3,Day9,Female,Young,2.32,1199579.2,517060
Site3,Day9,Female,Adult,2.51,544539.48,216948
Site3,Day9,Female,Senior,2.73,260603.07,95459
Site3,Day10,Male,Child,1.98,274075.56,138422
Site3,Day10,Male,Young,2.26,685494.16,303316
Site3,Day10,Male,Adult,2.45,608124.3,248214
Site3,Day10,Male,Senior,2.98,241156.5,80925
